,epsilon_progress,nfe
0,0,0
1,30,100
2,540,1196
3,1080,2293
4,1566,3390
5,1894,4485
6,2130,5584
7,2338,6681
8,2515,7774
9,2638,8866
10,2741,9962
11,2818,11353
12,2879,12741
13,2919,14128
14,2959,15514
15,3006,16900
16,3030,18289
17,3048,19675
18,3062,21065
19,3099,22456
20,3110,23848
21,3120,25232
